id,matricula,marca,modelo,nSerie,ano,tipo,kmsAtuais,horasAtuais,empresaId,estaleiroId,notas,proximaRevisaoKms,proximaRevisaoHoras
00883b0a-182c-474c-966d-ee0473595009,BE-51-DN,"Goupil","G6",VRWG6MZZZN0K00293,,G6 TRATORA,0,0,E090,,"",,
00a0b800-99c6-4107-b755-770bb4840de9,AQ-70-DP,"Goupil","G2",VRWG2MZZZN0L00001,,Equipamento,0,0,E097,,"",,
00da6918-05ed-4fc7-a10f-f926bc2a23ce,BZ-41-ZT,"OHM","S35",LA9CBC2B5SBALZ029,,Cx Fixa + Plataforma Elevatória,0,0,E021,,"",,
012184b4-e2e8-4915-9c95-2953267ee83c,61-TE-50,"Goupil","G4",VRWGWMZZZH0L00111,,Equipamento,0,0,E013,,"",,
02817e6b-07e3-40ff-a0a1-57c29201be94,23392998,"TSM","ARIA 240",23392998,,Equipamento,0,0,E078,,"",,
032206a1-7a4b-4f17-b44f-9125d418f82c,BZ-39-ZT,"Goupil","G4",VRWGWLZZZS0K00334,,G4 14kw - Cx Fixa + Plataforma Elevat�ria,0,0,E001,,"",,
03dd3de9-8f2f-451f-a5ec-06b721030ab5,MAT 7,"Goupil","G4",VRWGWLZZZS0K00373,,G4 14kw - Cx  Fixa,0,0,E135,,"",,
03edd8a8-0f5b-4e47-8ddd-29ae9e0e8046,AO-18-AF,"Goupil","G4",VRWGWLZZZM0K01273,,Equipamento,0,0,E087,,"",,
04998a7f-6f8b-42e6-a97f-0fe288a871be,AV-59686,"SANE","SEMI-REBOQUE",,,Equipamento,0,0,E038,,"",,
0555f3bc-2747-44a1-b0de-7174a1eed471,61-QT-81,"Goupil","G3",VRWG3LBACF0000256,,Equipamento,0,0,E001,,"",,
056f4777-eb64-42d6-ab53-85b4aac7e91d,BZ-68-TP,"Goupil","G4",VRWGWMZZZS0K00372,,G4 15.4kw - Cx Fixa,0,0,E043,,"",,
05eb310f-af97-4202-933a-678767d5a0e1,GX000027,"SANE","Ecoponto",GX000027,,Equipamento,0,0,E185,,"",,
0635b76e-de72-4950-add8-15c89185f298,BD-68 IX,"Goupil","G4",VRWGWMZZZP0K00213,,Equipamento,0,0,E204,,"",,
063c0819-4102-483d-869c-e1e4da85a1ea,40-TN-32 - 728,"Goupil","G4",VRWGWMZZZH0L00208,,Equipamento,0,0,E009,,"",,
079e6df0-1a52-4311-bac4-5e7a9b02235d,91-ZM-90,"Goupil","G4",VRWGWMZZZK0K00543,,Equipamento,0,0,E047,,"",,
07fdb793-623c-4526-bc23-b01e5b8097f7,BB-61-XU,"Goupil","G2",VRWG2MZZZP0L00022,,G2 5.2 - Cx Fixa,0,0,E096,,"",,
09390606-4800-44f2-829a-6339778d31a0,BU-45-HX - 811,"Goupil","G4",TAPPWMZZZS0K00023,,G4 14kw - Cx  Basc,0,0,E009,,"",,
09748983-81a3-45f4-8293-4a1c6e5ae13e,16-UA-71,"Goupil","G4",VRWGWMZZZH0L00557,,Equipamento,0,0,E045,,"",,
09d74c50-0072-4e7d-bcc1-9438d73e9f24,AA-01-NH,"Goupil","G2",VRWG2MZZZK0L00052,,Equipamento,0,0,E063,,"",,
09ded814-4310-4052-8b0d-4713cfad4a12,BF-97-IG,"Goupil","G4",VRWGWMZZZP0K00717,,Equipamento,0,0,E069,,"",,
