id,codigo,designacao
003e62da-1610-441d-98af-d7973744ace6,TSM-3020-0035-0J,ALAVANCA DE DIREÇÃO
0098c762-06c2-430e-98ce-0e240412a4a7,GO-7140850,KIT ROTULAS SUSPENSAO G2
00ad6fe0-800a-4142-bdd4-025085f94d4d,GO-4250025,BORRACHA
00b18351-9ce8-4144-a776-5724d7d1534f,GO-2100727,ANILHA G4
010f13e9-1b23-46ee-ad35-543046d82e9f,HA-149-281,ROTULA
01a9188c-7bbc-41ae-94e8-ed194244cc5f,GO-2100728,ROLAMENTO ENCODER
01dca322-f8bd-4ca4-bb72-4796f856755e,HA-109-279M,FILTRO HIDRAULICO
028b727f-e2ec-4911-bee6-09d413d30bef,GO-7140250,GUARDA-LAMAS G3
02a067ca-8062-4ffc-92fe-41ae308c9cc2,GO-7140642,CARREGADOR PARAMETROS 5.2 E 8.6 | G2
02a485bb-0f4d-447b-a4d0-6bf0ef5bb348,HA-114-030,ENGATE RAPIDO M
02c82723-3dbb-4728-94e5-924fb5e66869,HA-87-028,REDUTOR CAUDAL
02ffa345-284f-4005-9d5b-de25847565e8,GO-7140247,P�RA-CHOQUES TRASEIRO + SUPORTE  G3
0330ad11-6e0d-4b6b-952e-02393d376ae3,GO-2100098,KIT VALVULA
0356e83b-bfd9-4df0-baf5-8928d57e5c2f,GO-7140146,FLANGE DE TRANSMISS�O + PARAFUSOS G3
03a2f153-226c-45a4-8368-900e33692a02,GO-7140587,KIT FECHO DA PORTA ESQ - G4
03ad6d9e-12d2-4056-a066-2f19846bf529,GO-2101421,BMS G4 | 9.2
03c3c67f-6436-4997-a681-78d379b1afbf,HA-108-217M,RODA C/ ROLAMENTOS
03d24f83-0557-47f9-a245-277497fb9918,OF-CS-EL-TE-010,TERMINAL OLHAL 1.5X5
04015265-56c1-4554-988a-79f5062cbdcc,GO-6003588,P�RA-CHOQUES TRASEIRO G5
04061eee-bc36-49ef-b1c6-11b15a34cdff,HA-114-347,FILTRO DE AR
042bf4b7-1a4e-447a-b89e-8e30c05898fe,OF-CS-PO-RD-1X3/4,PORCA REDU��O LAT�O 1X3/4
0501e711-b287-4ca9-9264-88868abeaecb,GO-6207515,VIOLET
050f84e0-c06b-42c7-8555-b3590544a245,GO-6111411,ESPA�ADOR
0529de90-8dfa-4184-a340-a04a7e93aadc,GO-2050168,JANTE | G6
